ID,Category,CategoryForExport,Subcategory,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity,OMP
2.2.23,User Rights Assignment,Local Policies,User Rights Assignment,Deny log on as a service,accesschk,SeDenyServiceLogonRight,,,,,,,BUILTIN\Guests,=,Medium,� 
2.2.24,User Rights Assignment,Local Policies,User Rights Assignment,Deny log on locally,accesschk,SeDenyInteractiveLogonRight,,,,,,,BUILTIN\Guests,=,Medium,� 
2.2.25,User Rights Assignment,Local Policies,User Rights Assignment,Deny log on through Remote Desktop Services (DC),accesschk,SeDenyRemoteInteractiveLogonRight,,,,,,,BUILTIN\Guests,=,Medium,� 
2.2.26,User Rights Assignment,Local Policies,User Rights Assignment,Deny log on through Remote Desktop Services (Member),accesschk,SeDenyRemoteInteractiveLogonRight,,,,,,,BUILTIN\Guests;NT AUTHORITY\Local account,=,Medium,� 
2.2.27,User Rights Assignment,Local Policies,User Rights Assignment,Enable computer and user accounts to be trusted for delegation (DC),accesschk,SeEnableDelegationPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.28,User Rights Assignment,Local Policies,User Rights Assignment,Enable computer and user accounts to be trusted for delegation (Member),accesschk,SeEnableDelegationPrivilege,,,,,,,,=,Medium,� 
2.2.29,User Rights Assignment,Local Policies,User Rights Assignment,Force shutdown from a remote system,accesschk,SeRemoteShutdownPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators;BUILTIN\Server Operators,=,Medium,� 
2.2.30,User Rights Assignment,Local Policies,User Rights Assignment,Generate security audits,accesschk,SeAuditPrivilege,,,,,,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium,� 
2.2.31,User Rights Assignment,Local Policies,User Rights Assignment,Impersonate a client after authentication (DC),accesschk,SeImpersonatePrivilege,,,,,,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium,� 
2.2.32,User Rights Assignment,Local Policies,User Rights Assignment,Impersonate a client after authentication (Member),accesschk,SeImpersonatePrivilege,,,,,,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium,� 
2.2.33,User Rights Assignment,Local Policies,User Rights Assignment,Increase scheduling priority,accesschk,SeIncreaseBasePriorityPrivilege,,,,,,Window Manager\Window Manager Group;BUILTIN\Administrators,Window Manager\Window Manager Group;BUILTIN\Administrators,=,Medium,� 
2.2.34,User Rights Assignment,Local Policies,User Rights Assignment,Load and unload device drivers,accesschk,SeLoadDriverPrivilege,,,,,,BUILTIN\Administrators;BUILTIN\Print Operators,BUILTIN\Administrators,=,Medium,� 
2.2.35,User Rights Assignment,Local Policies,User Rights Assignment,Lock pages in memory,accesschk,SeLockMemoryPrivilege,,,,,,,,=,Medium,� 
2.2.36,User Rights Assignment,Local Policies,User Rights Assignment,Log on as a batch job (DC),accesschk,SeBatchLogonRight,,,,,,BUILTIN\Backup Operators;BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.37.1,User Rights Assignment,Local Policies,User Rights Assignment,Manage auditing and security log (DC),accesschk,SeSecurityPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.37.2,User Rights Assignment,Local Policies,User Rights Assignment,Manage auditing and security log (DC and Exchange),accesschk,SeSecurityPrivilege,,,,,,BUILTIN\Administrators,NT AUTHORITY\EXCHANGE SERVERS;BUILTIN\Administrators,=,Medium,� 
2.2.38,User Rights Assignment,Local Policies,User Rights Assignment,Manage auditing and security log (Member),accesschk,SeSecurityPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.39,User Rights Assignment,Local Policies,User Rights Assignment,Modify an object label,accesschk,SeReLabelPrivilege,,,,,,,,=,Medium,� 
2.2.40,User Rights Assignment,Local Policies,User Rights Assignment,Modify firmware environment values,accesschk,SeSystemEnvironmentPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.41,User Rights Assignment,Local Policies,User Rights Assignment,Perform volume maintenance tasks,accesschk,SeManageVolumePrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.42,User Rights Assignment,Local Policies,User Rights Assignment,Profile single process,accesschk,SeProfileSingleProcessPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.43,User Rights Assignment,Local Policies,User Rights Assignment,Profile system performance,accesschk,SeSystemProfilePrivilege,,,,,,NT SERVICE\WdiServiceHost;BUILTIN\Administrators,NT SERVICE\WdiServiceHost;BUILTIN\Administrators,=,Medium,� 
2.2.44,User Rights Assignment,Local Policies,User Rights Assignment,Replace a process level token,accesschk,SeAssignPrimaryTokenPrivilege,,,,,,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium,� 
2.2.45,User Rights Assignment,Local Policies,User Rights Assignment,Restore files and directories,accesschk,SeRestorePrivilege,,,,,,BUILTIN\Backup Operators;BUILTIN\Administrators;BUILTIN\Server Operators,BUILTIN\Administrators,=,Medium,� 
2.2.46,User Rights Assignment,Local Policies,User Rights Assignment,Shut down the system,accesschk,SeShutdownPrivilege,,,,,,BUILTIN\Backup Operators;BUILTIN\Print Operators;BUILTIN\Administrators;BUILTIN\Server Operators,BUILTIN\Administrators,=,Medium,� 
2.2.47,User Rights Assignment,Local Policies,User Rights Assignment,Synchronize directory service data (DC),accesschk,SeSyncAgentPrivilege,,,,,,,,=,Medium,� 
2.2.48,User Rights Assignment,Local Policies,User Rights Assignment,Take ownership of files or other objects,accesschk,SeTakeOwnershipPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.3.1.1,Security Options,Local Policies,Security Options: Accounts,Accounts: Administrator account status (Member),localaccount,500,,,,,,True,False,=,Medium,� 
2.3.1.2,Security Options,Local Policies,Security Options: Accounts,Accounts: Block Microsoft accounts,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,NoConnectedUser,,,,0,3,=,Low,� 
2.3.1.3,Security Options,Local Policies,Security Options: Accounts,Accounts: Guest account status (Member),localaccount,501,,,,,,False,False,=,Medium,� 
2.3.1.4,Security Options,Local Policies,Security Options: Accounts,Accounts: Limit local account use of blank passwords to console logon only,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,LimitBlankPasswordUse,,,,1,1,=,Medium,� 
2.3.1.5,Security Options,Local Policies,Security Options: Accounts,Accounts: Rename administrator account,localaccount,500,,,,,,Administrator,Administrator,!=,Low,� 
2.3.1.6,Security Options,Local Policies,Security Options: Accounts,Accounts: Rename guest account,localaccount,501,,,,,,Gast,Gast,!=,Low,� 
2.3.2.1,Security Options,Local Policies,Security Options: Audit,Audit: Force audit policy subcategory settings to override audit policy category settings,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,SCENoApplyLegacyAuditPolicy,,,,,1,=,Low,� 
2.3.2.2,Security Options,Local Policies,Security Options: Audit,Audit: Shut down system immediately if unable to log security audits,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa,CrashOnAuditFail,,,,0,0,=,Low,� 
2.3.4.1,Security Options,Local Policies,Security Options: Devices,Devices: Allowed to format and eject removable media,Registry,,HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateDASD,,,,,2,=,Medium,� 
2.3.4.2,Security Options,Local Policies,Security Options: Devices,Devices: Prevent users from installing printer drivers,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers,AddPrinterDrivers,,,,0,1,=,Medium,� 
2.3.5.1,Security Options,Local Policies,Security Options: Domain controller,Domain controller: Allow server operators to schedule tasks (DC),Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa,SubmitControl,,,,0,0,=,Medium,� 
2.3.5.2,Security Options,Local Policies,Security Options: Domain controller,Domain controller: LDAP server signing requirements,Registry,,HKLM:\System\CurrentControlSet\Services\NTDS\Parameters,LDAPServerIntegrity,,,,,2,=,Medium,� 
2.3.5.3,Security Options,Local Policies,Security Options: Domain controller,Domain controller: Refuse machine account password changes (DC),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\Netlogon\Parameters,RefusePasswordChange,,,,0,0,=,Medium,� 
2.3.6.1,Security Options,Local Policies,Security Options: Domain member,Domain member: Digitally encrypt or sign secure channel data (always),Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,RequireSignOrSeal,,,,1,1,=,Medium,� 
2.3.6.2,Security Options,Local Policies,Security Options: Domain member,Domain member: Digitally encrypt secure channel data (when possible),Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,SealSecureChannel,,,,1,1,=,Medium,� 
2.3.6.3,Security Options,Local Policies,Security Options: Domain member,Domain member: Digitally sign secure channel data (when possible),Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,SignSecureChannel,,,,1,1,=,Medium,� 
2.3.6.4,Security Options,Local Policies,Security Options: Domain member,Domain member: Disable machine account password changes,Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,DisablePasswordChange,,,,0,0,=,Medium,� 
2.3.6.5,Security Options,Local Policies,Security Options: Domain member,Domain member: Maximum machine account password age,Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,MaximumPasswordAge,,,,30,30,<=!0,Medium,� 
2.3.6.6,Security Options,Local Policies,Security Options: Domain member,Domain member: Require strong (Windows 2000 or later) session key,Registry,,HKLM:\System\CurrentControlSet\Services\Netlogon\Parameters,RequireStrongKey,,,,1,1,=,Medium,� 
2.3.7.1,Security Options,Local Policies,Security Options: Interactive logon,Interactive logon: Do not require CTRL+ALT+DEL,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,DisableCAD,,,,1,0,=,Low,� 
2.3.7.2,Security Options,Local Policies,Security Options: Interactive logon,Interactive logon: Don't display last signed-in,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,DontDisplayLastUserName,,,,1,0,=,Low,� 
2.3.7.3,Security Options,Local Policies,Security Options: Interactive logon,Interactive logon: Machine inactivity limit,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,InactivityTimeoutSecs,,,,0,900,<=!0,Medium,� 
2.3.7.4,Security Options,Local Policies,Security Options: Interactive logon,Interactive logon: Message text for users attempting to log on,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeText,,,,,,!=,Low,� 
2.3.7.5,Security Options,Local Policies,Security Options: Interactive logon,Interactive logon: Message title for users attempting to log on,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeCaption,,,,,,!=,Low,� 
2.3.7.6,Security Options,Local Policies,Security Options: Interactive logon,Interactive logon: Number of previous logons to cache (in case domain controller is not available),Registry,,HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,CachedLogonsCount,,,,10,4,<=,Medium,� 
2.3.7.7.1,Security Options,Local Policies,Security Options: Interactive logon,Interactive logon: Prompt user to change password before expiration (Max),Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,PasswordExpiryWarning,,,,5,14,<=,Low,� 
2.3.7.7.2,Security Options,Local Policies,Security Options: Interactive logon,Interactive logon: Prompt user to change password before expiration (Min),Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,PasswordExpiryWarning,,,,5,5,>=,Low,� 
2.3.7.8,Security Options,Local Policies,Security Options: Interactive logon,Interactive logon: Require Domain Controller Authentication to unlock workstation (Member),Registry,,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,ForceUnlockLogon,,,,0,1,=,Medium,� 
2.3.7.9,Security Options,Local Policies,Security Options: Interactive logon,Interactive logon: Smart card removal behavior,Registry,,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,ScRemoveOption,,,,0,1,=,Medium,� 
2.3.8.1,Security Options,Local Policies,Security Options: Microsoft network client,Microsoft network client: Digitally sign communications (always),Registry,,HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters,RequireSecuritySignature,,,,0,1,=,Medium,� 
2.3.8.2,Security Options,Local Policies,Security Options: Microsoft network client,Microsoft network client: Digitally sign communications (if server agrees),Registry,,HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters,EnableSecuritySignature,,,,1,1,=,Medium,� 
2.3.8.3,Security Options,Local Policies,Security Options: Microsoft network client,Microsoft network client: Send unencrypted password to third-party SMB servers,Registry,,HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters,EnablePlainTextPassword,,,,0,0,=,Medium,� 
2.3.9.1,Security Options,Local Policies,Security Options: Microsoft network server,Microsoft network server: Amount of idle time required before suspending session,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters,AutoDisconnect,,,,15,15,<=,Medium,� 
2.3.9.2,Security Options,Local Policies,Security Options: Microsoft network server,Microsoft network server: Digitally sign communications (always),Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,RequireSecuritySignature,,,,1,1,=,Medium,� 
2.3.9.3,Security Options,Local Policies,Security Options: Microsoft network server,Microsoft network server: Digitally sign communications (if client agrees),Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,EnableSecuritySignature,,,,1,1,=,Medium,� 
2.3.9.4,Security Options,Local Policies,Security Options: Microsoft network server,Microsoft network server: Disconnect clients when logon hours expire,Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,enableforcedlogoff,,,,1,1,=,Medium,� 
2.3.9.5,Security Options,Local Policies,Security Options: Microsoft network server,Microsoft network server: Server SPN target name validation level (Member),Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,SMBServerNameHardeningLevel,,,,,1,>=,Medium,� 
2.3.10.1,Security Options,Local Policies,Security Options: Network access,Network access: Allow anonymous SID/Name translation,secedit,System Access\LSAAnonymousNameLookup,,,,,,0,0,=,Medium,� 
2.3.10.2,Security Options,Local Policies,Security Options: Network access,Network access: Do not allow anonymous enumeration of SAM accounts (Member),Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,RestrictAnonymousSAM,,,,1,1,=,Medium,� 
2.3.10.3,Security Options,Local Policies,Security Options: Network access,Network access: Do not allow anonymous enumeration of SAM accounts and shares (Member),Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,RestrictAnonymous,,,,0,1,=,Medium,� 
2.3.10.4,Security Options,Local Policies,Security Options: Network access,Network access: Do not allow storage of passwords and credentials for network authentication,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,DisableDomainCreds,,,,0,1,=,Medium,� 
2.3.10.5,Security Options,Local Policies,Security Options: Network access,Network access: Let Everyone permissions apply to anonymous users,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,EveryoneIncludesAnonymous,,,,0,0,=,Medium,� 
2.3.10.6,Security Options,Local Policies,Security Options: Network access,Network access: Named Pipes that can be accessed anonymously (DC),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters,NullSessionPipes,,,,,netlogon samr lsarpc,=,Medium,� 
2.3.10.7,Security Options,Local Policies,Security Options: Network access,Network access: Named Pipes that can be accessed anonymously (Member),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters,NullSessionPipes,,,,,,=,Medium,� 
2.3.10.8,Security Options,Local Policies,Security Options: Network access,Network access: Remotely accessible registry paths,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedExactPaths,Machine,,,,System\CurrentControlSet\Control\ProductOptions System\CurrentControlSet\Control\Server Applications Software\Microsoft\Windows NT\CurrentVersion,System\CurrentControlSet\Control\ProductOptions System\CurrentControlSet\Control\Server Applications Software\Microsoft\Windows NT\CurrentVersion,=,Medium,� 
2.3.10.9,Security Options,Local Policies,Security Options: Network access,Network access: Remotely accessible registry paths and sub-paths,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths,Machine,,,,System\CurrentControlSet\Control\Print\Printers System\CurrentControlSet\Services\Eventlog Software\Microsoft\OLAP Server Software\Microsoft\Windows NT\CurrentVersion\Print Software\Microsoft\Windows NT\CurrentVersion\Windows System\CurrentControlSet\Control\ContentIndex System\CurrentControlSet\Control\Terminal Server System\CurrentControlSet\Control\Terminal Server\UserConfig System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration Software\Microsoft\Windows NT\CurrentVersion\Perflib System\CurrentControlSet\Services\SysmonLog,System\CurrentControlSet\Control\Print\Printers System\CurrentControlSet\Services\Eventlog Software\Microsoft\OLAP Server Software\Microsoft\Windows NT\CurrentVersion\Print Software\Microsoft\Windows NT\CurrentVersion\Windows System\CurrentControlSet\Control\ContentIndex System\CurrentControlSet\Control\Terminal Server System\CurrentControlSet\Control\Terminal Server\UserConfig System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration Software\Microsoft\Windows NT\CurrentVersion\Perflib System\CurrentControlSet\Services\SysmonLog,=,Medium,� 
2.3.10.10,Security Options,Local Policies,Security Options: Network access,Network access: Restrict anonymous access to Named Pipes and Shares,Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,RestrictNullSessAccess,,,,1,1,=,Medium,� 
2.3.10.11,Security Options,Local Policies,Security Options: Network access,Network access: Restrict clients allowed to make remote calls to SAM (Member),Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,RestrictRemoteSAM,,,,O:BAG:BAD:(A;;RC;;;BA),O:BAG:BAD:(A;;RC;;;BA),=,Medium,� 
2.3.10.12,Security Options,Local Policies,Security Options: Network access,Network access: Shares that can be accessed anonymously,Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,NullSessionShares,,,,,,=,Medium,� 
2.3.10.13,Security Options,Local Policies,Security Options: Network access,Network access: Sharing and security model for local accounts,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,ForceGuest,,,,0,0,=,Medium,� 
2.3.11.1,Security Options,Local Policies,Security Options: Network security,Network security: Allow Local System to use computer identity for NTLM,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,UseMachineId,,,,0,1,=,Medium,� 
2.3.11.2,Security Options,Local Policies,Security Options: Network security,Network security: Allow LocalSystem NULL session fallback,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,allownullsessionfallback,,,,0,0,=,Medium,� 
2.3.11.3,Security Options,Local Policies,Security Options: Network security,Network security: Allow PKU2U authentication requests to this computer to use online identities,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\pku2u,AllowOnlineID,,,,,0,=,Medium,� 
2.3.11.4,Security Options,Local Policies,Security Options: Network security,Network security: Configure encryption types allowed for Kerberos,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters,SupportedEncryptionTypes,,,,2147483640,2147483640,<=,Medium,� 
2.3.11.5,Security Options,Local Policies,Security Options: Network security,Network security: Do not store LAN Manager hash value on next password change,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,NoLMHash,,,,1,1,=,High,� 
2.3.11.6,Security Options,Local Policies,Security Options: Network security,Network security: Force logoff when logon hours expires,secedit,System Access\ForceLogoffWhenHourExpire,,,,,,1,1,=,Low,� 
2.3.11.7,Security Options,Local Policies,Security Options: Network security,Network security: LAN Manager authentication level,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,LmCompatibilityLevel,,,,3,5,=,Medium,� 
2.3.11.8,Security Options,Local Policies,Security Options: Network security,Network security: LDAP client signing requirements,Registry,,HKLM:\System\CurrentControlSet\Services\LDAP,LDAPClientIntegrity,,,,1,1,>=,Medium,� 
2.3.11.9,Security Options,Local Policies,Security Options: Network security,Network security: Minimum session security for NTLM SSP based (including secure RPC) clients,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,NTLMMinClientSec,,,,536870912,537395200,=,Medium,� 
